id,scope,name,tag_key,parent_id,sort_order,created_at,updated_at
c6d8e55d-c311-437b-92d9-b52fa1cbb916,header,Calcetines,,,5,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-brodats-en-el-teler-26,filter,Brodats En El Teler,Brodats En El Teler,,26,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-brodats-grandots-16,filter,Brodats Grandots,Brodats Grandots,,16,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-brodats-menudes-i-mes-barats-27,filter,Brodats Menudes I Mes Barats,Brodats Menudes I Mes Barats,,27,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-calces-brodades-a-ma-17,filter,Calces Brodades A Ma,Calces Brodades A Ma,,17,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-calces-de-ratlles-0,filter,Calces De Ratlles,Calces De Ratlles,,0,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-calces-llisses-2,filter,Calces Llisses,Calces Llisses,,2,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-calces-mostraribrodades-1,filter,Calces Mostraribrodades,Calces Mostraribrodades,,1,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-calces-posades-28,filter,Calces Posades,Calces Posades,,28,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-calces-sense-calats-5,filter,Calces Sense Calats,Calces Sense Calats,,5,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-color-100-4,filter,Color 100,Color 100,filter-colors-group,100,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-104-40,filter,Color 104,Color 104,filter-colors-group,104,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-105-41,filter,Color 105,Color 105,filter-colors-group,105,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-109-29,filter,Color 109,Color 109,filter-colors-group,109,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-110-11,filter,Color 110,Color 110,filter-colors-group,110,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-111-42,filter,Color 111,Color 111,filter-colors-group,111,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-114-43,filter,Color 114,Color 114,filter-colors-group,114,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-116-30,filter,Color 116,Color 116,filter-colors-group,116,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-118-9,filter,Color 118,Color 118,filter-colors-group,118,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-119-14,filter,Color 119,Color 119,filter-colors-group,119,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-121-44,filter,Color 121,Color 121,filter-colors-group,121,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-122-21,filter,Color 122,Color 122,filter-colors-group,122,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-125-45,filter,Color 125,Color 125,filter-colors-group,125,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-127-18,filter,Color 127,Color 127,filter-colors-group,127,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-128-46,filter,Color 128,Color 128,filter-colors-group,128,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-139-47,filter,Color 139,Color 139,filter-colors-group,139,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-140-31,filter,Color 140,Color 140,filter-colors-group,140,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-141-48,filter,Color 141,Color 141,filter-colors-group,141,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-142-32,filter,Color 142,Color 142,filter-colors-group,142,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-144-49,filter,Color 144,Color 144,filter-colors-group,144,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-145-50,filter,Color 145,Color 145,filter-colors-group,145,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-146-33,filter,Color 146,Color 146,filter-colors-group,146,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-148-22,filter,Color 148,Color 148,filter-colors-group,148,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-149-51,filter,Color 149,Color 149,filter-colors-group,149,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-150-23,filter,Color 150,Color 150,filter-colors-group,150,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-151-19,filter,Color 151,Color 151,filter-colors-group,151,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-152-52,filter,Color 152,Color 152,filter-colors-group,152,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-159-53,filter,Color 159,Color 159,filter-colors-group,159,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-161-34,filter,Color 161,Color 161,filter-colors-group,161,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-163-35,filter,Color 163,Color 163,filter-colors-group,163,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-165-54,filter,Color 165,Color 165,filter-colors-group,165,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-166-55,filter,Color 166,Color 166,filter-colors-group,166,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-175-36,filter,Color 175,Color 175,filter-colors-group,175,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-177-56,filter,Color 177,Color 177,filter-colors-group,177,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-178-57,filter,Color 178,Color 178,filter-colors-group,178,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-181-58,filter,Color 181,Color 181,filter-colors-group,181,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-184-37,filter,Color 184,Color 184,filter-colors-group,184,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-185-20,filter,Color 185,Color 185,filter-colors-group,185,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-186-59,filter,Color 186,Color 186,filter-colors-group,186,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-187-60,filter,Color 187,Color 187,filter-colors-group,187,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-188-61,filter,Color 188,Color 188,filter-colors-group,188,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-189-12,filter,Color 189,Color 189,filter-colors-group,189,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-190-13,filter,Color 190,Color 190,filter-colors-group,190,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-194-62,filter,Color 194,Color 194,filter-colors-group,194,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-195-24,filter,Color 195,Color 195,filter-colors-group,195,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-196-63,filter,Color 196,Color 196,filter-colors-group,196,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-198-64,filter,Color 198,Color 198,filter-colors-group,198,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-color-199-7,filter,Color 199,Color 199,filter-colors-group,199,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
filter-colors-group,filter,Colores,,,4,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-de-cigrons-66,filter,De Cigrons,De Cigrons,,66,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-de-cuatre-colors-67,filter,De Cuatre Colors,De Cuatre Colors,,67,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
