id,name,description,price,color,type,material,care,origin,category,tags,sizes,photos,available,priority,created_at,updated_at,metadata,view_count,last_viewed_at
3-fonts,3 Fonts,Calcetines artesanales modelo 3 Fonts.,78.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,De Home,"[""Calces Mostraribrodades"",""De Home"",""Dibuix Vertical""]",[],0,false,1000,2025-11-14 10:29:07.1684+00,2025-11-16 12:12:25.269+00,"{""imagePlaceholders"":{""/images/products/3-fonts_001.jpg"":""data:image/webp;base64,UklGRrYAAABXRUJQVlA4IKoAAACQBQCdASoYABgAPuFgp02opaOiMAwBEBwJZAC/7BcGwDmVomi43ozkhOzW5cbnjTqr8RcPAAD9IY/K9Q1ywgJjqDutDIcluyiSq1G1Qq86qFnCkN9l2SBsWtvx1t3dU32AKpuMp3zaA+ZeO2tQ8N04/v73W9l3RrIFlp91i0NzN8llra7l35nPFwC7k3ONXB6zWGw4cjwrzIdgsqRyVDT+OV141BZkQOIAAA=="",""/images/products/3-fonts_002.jpg"":""data:image/webp;base64,UklGRoYAAABXRUJQVlA4IHoAAADwAwCdASoYABgAPu1mqk2ppaQiMAgBMB2JQBOgAKcf9XVQYEGU1TjkAOvVMJ6aXZm3NI9QU0HZeFcQlmItx5yQyBIBw+b/ZpZTzaIvW3gTShd9dOGKl7nmloGE2PO7cl66zhdScRQmTUnmOSJuRX713ZPSsbADYJ7AAA=="",""/images/products/3-fonts_003.jpg"":""data:image/webp;base64,UklGRooAAABXRUJQVlA4IH4AAAAwBACdASoYABgAPu1srFEppiQiqAqpMB2JYwC+SAyWA/8qbzCByyq0wAAA/hH+gtaNdOdRsIZyiu1npeAEqimz5TXu/0ogZMqNMp/M2GVetEf/vQLQHlHxJXoxDtkDaAGilQAULI9qdLSnnbaGg+OIygtD1VECqz6pxmLAAAA="",""/images/products/3-fonts_004.jpg"":""data:image/webp;base64,UklGRngAAABXRUJQVlA4IGwAAADQBACdASoYABgAPu1gqU2ppaQiMBgMATAdiWUAw3APuPOdeQaf2QHDf246wiwbQAD8XMG5OKUdjHgZJjx0Lh8WQLTOvcmssVdmfGSAOQodymFdjXexuki49AiSFRvJArQLUDKbKhDjxODAAAA="",""/images/products/3-fonts_005.jpg"":""data:image/webp;base64,UklGRpAAAABXRUJQVlA4IIQAAABQBACdASoYABgAPulkq02pJaQiMBgMASAdCUAVw4GL0EZ7m/zIqcCzOoYwAP0htPo5dkUaJknzInn5JCUJJGpcBbAMWnUKmXEBhhtPdI4C5BBtiCrDiZ0jDRI/9Z1H5v4su2QJClfXSTExJ7zeWZ+tEzg8v50/2T4mgXQ2az9VIQBUYAA="",""/images/products/3-fonts_006.jpg"":""data:image/webp;base64,UklGRngAAABXRUJQVlA4IGwAAAAwBACdASoYABgAPu1mqE2ppaOiMBgMATAdiWMAqPQLINeOQ7WbQWjf6QAA6cH0TkSWOe65ionMaUda8LYmD9JBNEabHqxLJAbr1EHJ01IEvAcOMmMwYjM/C0Sh5iTlRL/lR6sEs1LVP+CaAAA="",""/images/products/3-fonts_007.jpg"":""data:image/webp;base64,UklGRqgAAABXRUJQVlA4IJwAAACQBQCdASoYABgAPu1sqlGppaOiqAqpMB2JQBOmaZYuDszCGc75ogXtq85VAVSR02Frm7aUAAD+umOVsnAe/DfuGs5VxGu5727mXy3JQ0h/UWWqZNkRuWiehFR4QUhMg9Cy5W9rVZT0oUSzsgqvFUGb63emdZnGTelVLK74DNEipDYFeo+924tHroZd9ntGTQHn4rZQkKEI2n4rAAA="",""/images/products/3-fonts_008.jpg"":""data:image/webp;base64,UklGRqgAAABXRUJQVlA4IJwAAAAwBQCdASoYABgAPu1mq08ppaOiKA1RMB2JQBYj2hg0WULQ1JYgFrozyzHNv0snP+P2gAD+nmtKZe6avnoBq1sx7hRptkIdjgh04StDB3fx2dON3baKdjXzbuJr6tcjFTcwU6Qf6qpU+4cLMC5OPh07g+edTZ7wqbxiu7bdNJIF5aask/IdpfzNiWd74DV58yy0wxOyoGFfA5VSAAA="",""/images/products/3-fonts_009.jpg"":""data:image/webp;base64,UklGRtAAAABXRUJQVlA4IMQAAADwBQCdASoYABgAPu1cqU4ppKOiMBgMATAdiWwArDlBPNcYAAuDKt7se80rl6QseFRe6IpEtMkIgAD+VT1fB0jniv8JE2Kuh3oXLDCkO3XYiJ24p8+7lNhkwenSsK2nFsNpVZmckxc6FhepyqH6aa30N0OqCzj/1iBQZ30kPUkp5cuYYILtvWGCu+uGqXw9iBCpi8RXvyAAOwuobRY+d3RAlRWcFtKe8xq5d895uEFKe+FX2g2ywE2VrMz5pvwkVE7aShAA"",""/images/products/3-fonts_010.jpg"":""data:image/webp;base64,UklGRpgAAABXRUJQVlA4IIwAAADwBACdASoYABgAPuVgpE2pJaOiMAwBIByJYwC7ACG6GXAtJAPehB2e0E+M1kbTkAAA/p1R5mrT/bFqid0tSIQjf8hrc6+2t2cn5oTB87+mvDbbIC1kx3huyJQOWbJI41+buFHy6+DXcFujfOo2pjwOR2PJhWheoZ+wHyPPofLPtm4IxPEMHCJszQKAAA=="",""/images/products/3-fonts_011.jpg"":""data:image/webp;base64,UklGRpQAAABXRUJQVlA4IIgAAAAwBQCdASoYABgAPuFipU2opiOiN/VYARAcCWUAsOwQvPZcG5DX6as9ClAlJ5MnVHpD+AD+nZqgthFgk+9U4/T1hJ+9tKCXp26W+7GTxKKYv3hmR7262TjFqQ3QR0BOGCwdlsaOwmhMujdfrOUyw5ZmoG8kojpDaDphzxHx9+dI70wgsX2wAAAA"",""/images/products/3-fonts_012.jpg"":""data:image/webp;base64,UklGRnYAAABXRUJQVlA4IGoAAAAQBACdASoYABgAPu1wsFKppiSiqAgBMB2JQBj8gS5GMhiu+QskxhegAADr3/DHZVHhlZkls3S4PWjVHy7mm/5bbFPbEwbshz5bqWgf8ixBYaw2hcvzLAElMwbqnP8+1i48ajk+2MCPHUAA"",""/images/products/3-fonts_013.jpg"":""data:image/webp;base64,UklGRoAAAABXRUJQVlA4IHQAAABQBACdASoYABgAPu1qrFCppaQiqAqpMB2JQBjegXSqfzD8Eq8GcyjPps4AAO5nvxJmUKxXxxjQi26W8mtKl+k4QKTk8uYWoWNRHERtXCxCAL+L8OkF58FDaQnm+8RUq6UnuTJqgqjQUb9Pf/50KYzxqIg4AA=="",""/images/products/3-fonts_014.jpg"":""data:image/webp;base64,UklGRnYAAABXRUJQVlA4IGoAAAAQBACdASoYABgAPu1wsFKppiSiqAgBMB2JQBj8gS5GMhiu+QskxhegAADr3/DHZVHhlZkls3S4PWjVHy7mm/5bbFPbEwbshz5bqWgf8ixBYaw2hcvzLAElMwbqnP8+1i48ajk+2MCPHUAA"",""/images/products/3-fonts_015.jpg"":""data:image/webp;base64,UklGRqYAAABXRUJQVlA4IJoAAADwBACdASoYABgAPu1oqk6ppiQiKA1RMB2JZQC3uAikHiqQlgW537ae4guch+DAAzAA9ybFQReIyzVkBtFPb/davMXyeEYgIAdpA+MKfhEsccQ6uAVL6colE8ZXa4VqgsYn1H94F2+eP8rSyo98LLBRdBqHB0cz4rTf6GK7YmRTXyd5uiXQeEa9hc4+e1rED5zqYImwJtjOMAAA"",""/images/products/3-fonts_016.jpg"":""data:image/webp;base64,UklGRrgAAABXRUJQVlA4IKwAAABQBQCdASoYABgAPu1kqk2ppaQiMAgBMB2JYwCxHtDvQBsFFi2oOTXUQ1bWIsHVL0OtHQAA/stYZKbUQJ7PQgQ/fFXJFsRVtRKQQAI6el2Kzw67F9TYzi/f/nUFgPkinia/T04c61lq3g1UIqsqTGvqfCbZivlwpzjxOqtBTHFwu64M7Ffihqy083sfw3HeAwDW7UcBEURF30VRQ5s/xagDZ32owa6ER1qQQAAA""}}",13,2025-11-16 15:29:54.670504+00
abdet,Abdet,Calcetines artesanales modelo Abdet.,0.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,Calces Mostraribrodades,"[""Calces Mostraribrodades"",""Color 100""]",[],0,false,1000,2025-11-14 10:29:07.414033+00,2025-11-16 12:13:40.728+00,"{""imagePlaceholders"":{""/images/products/abdet_001.jpg"":""data:image/webp;base64,UklGRowAAABXRUJQVlA4IIAAAACQBACdASoYABgAPu1kq0+ppSOiMBgIATAdiWIAsOwQsxvUmXmpQ/UXWvQyFrAA/tnRvgcnC+fhYTOl4xlxqOMhB8YaPb1AO/hhQNRlR7+vA0Q/g8zKBG5rw9qybRrq7YeypZAmDYG0OYoKXuWapTGvug2ugh0XbN7FbrcDUIAAAA==""}}",4,2025-11-16 12:13:02.800853+00
acacia,Acacia,Calcetines artesanales modelo Acacia.,48.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,De Dos Colors,"[""Calces De Ratlles"",""De Dos Colors""]",[],0,false,1000,2025-11-14 10:29:07.521736+00,2025-11-16 11:42:36.106+00,"{""imagePlaceholders"":{""/images/products/acacia_001.jpeg"":""data:image/webp;base64,UklGRowAAABXRUJQVlA4IIAAAABwBACdASoYABgAPuVkpE2pJiMiMAwBIByJYwAAWlVeyTuFX/DG5BaBTv+4QAD+3pb6GIJuP68uPqKrr7N4CA1PrVseP2SXl74QMXuo8sxHbws+G8mYVY5WhHkrkASmOkVlRkAmytSbgMs0bgrOuGbke4ztYifAnYKhh/vix5UUAA==""}}",4,2025-11-16 15:30:08.523461+00
ador,Ador,Calcetines artesanales modelo Ador.,0.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,Calces Mostraribrodades,"[""Calces Mostraribrodades""]",[],0,false,1000,2025-11-14 10:29:07.600423+00,2025-11-15 18:36:14.984+00,"{""imagePlaceholders"":{""/images/products/ador_001.jpg"":""data:image/webp;base64,UklGRrwAAABXRUJQVlA4ILAAAAAwBQCdASoYABgAPu1sq1EppaOiqAqpMB2JZwDHbApyi+pd5uI1rEc3U3AUDEwNGNlYAAD+cSMUcY5SPaX/6vw7g0rqMJXsP2mJQcTeOsInNW450/KUH5ELl6HjYiE6pTVLw7sHNcXAVth1WQQeaPk4gPOaB1q3/yYnVfJhX/6BJxub7Dk3hdn8u5Qcnt4LeTfi070tUFdmOTHLHhAad+/4bEbnsMo1dI7cmCSAkMYAAA==""}}",2,2025-11-16 15:27:00.099981+00
agres,Agres,Calcetines artesanales modelo Agres.,48.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,Calces De Ratlles,"[""Calces De Ratlles"",""Color 140"",""Color 199""]",[],0,false,1000,2025-11-14 10:29:07.689453+00,2025-11-16 11:42:49.701+00,"{""imagePlaceholders"":{""/images/products/agres_001.jpg"":""data:image/webp;base64,UklGRvQAAABXRUJQVlA4IOgAAABQBgCdASoYABgAPu1ur1IppiQiqAgBMB2JZwDHMy4mAFUgFVcBSd5CIEbGS26JdN+Xeb1f1H+f3/rGwAD+wRI9v6gJRkkFOCuElOGDeGGdEwSwfvOUKi5+pH8Vu6O4PQKXnIgXd72p0eWlQvkGqJ6urs2M2XN0WBO6t8gdd5sm/mhbR0C1TPKeOJBAE0e5uBiKE+IGBmtWJBBjw4c/qqgbq6Oi1wAXkm5uPxU8uSmoFDGOInsa4ZfW1ECnV3PJWqZOg0PZkdKttL6VpYh6cu/7pkBAd6Liv8WK8xZGzOln59cHhYhKywAA"",""/images/products/agres_002.jpg"":""data:image/webp;base64,UklGRowAAABXRUJQVlA4IIAAAAAQBQCdASoYABgAPuVio02pJaMiMAwBIByJQBm4BD+3qRgtfTkLRNSkYPwkGQK0Q+IAAP7xYPFN46dCqzI2dTAaqkwTu5bb7Y6ooIMljvAnPf6zUM+mtJjSTALQDLTKM0EOhvfYi1XyqKarK7LgXtbdNU1XMYA33ARPdPOH0AAAAA==""}}",1,2025-11-16 13:59:00.048579+00
aguilar,Aguilar,Calcetines artesanales modelo Aguilar.,0.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,Calces Mostraribrodades,"[""Calces Mostraribrodades""]",[],0,false,1000,2025-11-14 10:29:07.776157+00,2025-11-15 20:02:22.992+00,"{""imagePlaceholders"":{""/images/products/aguilar_001.jpg"":""data:image/webp;base64,UklGRowAAABXRUJQVlA4IIAAAABwBQCdASoYABgAPu1opk2ppqMiMBgMATAdiWMAuwAQqUU6MSefKK2wbGq+RxYZ2se/n3gAAP65BTarkwkF2ygNLjfy1tNWiURihwgSdAJYmRvXhegPw2q2ueH4vAxgCJ6xoJy9qAo52o/4Kds/SkBnyGXww2ctICwtJ7s2pigcAA=="",""/images/products/aguilar_002.jpg"":""data:image/webp;base64,UklGRogAAABXRUJQVlA4IHwAAADQBACdASoYABgAPu1srE8ppiQiMBgIATAdiWUAwoAQrf20R5Dhch9XBa8EnMAQAAD+ud290Bonzk3XlkB2rCxopuTEYaG+HWfekG+RWF8/eM/HdKYFk7cGJtiegUN1ETmRQYIi8HjMoxzjvwdwDarnL+m4TrZo5gw0AAAA""}}",3,2025-11-16 11:15:11.187663+00
agullent,Agullent,Calcetines artesanales modelo Agullent.,0.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,De Una En Una Brodat,"[""Calces Mostraribrodades"",""De Una En Una Brodat""]",[],0,false,1000,2025-11-14 10:29:07.874273+00,2025-11-15 18:36:17.772+00,"{""imagePlaceholders"":{""/images/products/agullent_001.jpg"":""data:image/webp;base64,UklGRvIAAABXRUJQVlA4IOYAAACwBQCdASoYABgAPu1oqk+ppiOiKA1RMB2JbACdOUDeblwUSkzbj1igz4z88N+WP1gBBikGRAAA/pdzuHUzvRAl0ayhS65RmLTHcJsrrTZeLe1gZOfgzAgqBbfor3vg0hX0DGZIHPlM7Y4xmBiSsPSPY++RXpngi8UCrBj9iuxRQKcnIbp3RkmQWA4Vr20TEzyBrJplAMA0QAuifxWn6ejXsSQkQb6Y+k3EDl8gqtk34HEj5IlEqmepT17Th85FGjxZmio/RkoJBrsFPmL9tZcSg82xeiYAw4I176FHlsCfLBBG9wAAAA=="",""/images/products/agullent_002.jpg"":""data:image/webp;base64,UklGRvAAAABXRUJQVlA4IOQAAABQBQCdASoYABgAPu1oqk+ppiOiKA1RMB2JbACdOUDcMQbjwMnud5+/RSCgnJ/zXooZCYAA/pdzuHU53CfA/wrHmzIPHo1cNtPECBp/LuCQN2sDJ2YvJyfFz6UINTw7j85CvoGO06ViFJ5IXeFxSebQaVaCZ+eRIsD283h2Pta9CZe51ZyGnWJobaBBArbNZHE9UOt3ai+N76bU14aut6pv/jkanxzGEyY0DzZ3yL7+pJwW6nxp9aiu5HgjnEmSi9oledDp0YVN/BXIaDULVm/8PJ8DngQLBpzl7krrg1kusmyeAAA="",""/images/products/agullent_003.jpg"":""data:image/webp;base64,UklGRoQAAABXRUJQVlA4IHgAAADQBACdASoYABgAPtFWoU2oJKMiN+gBABoJZQDAKDF6fo1t/CA2J/0iF69r7Vz6AAD+6+N1IZvEwKW6xUjIa+6b5C9MUfJZ4Uo/hUPdkO2Yk3ee7ROR5DNAAtg4MQ0xr4cCoK1TXdMaUqYQkDk+KhzggUmvbo0QAAA="",""/images/products/agullent_004.jpg"":""data:image/webp;base64,UklGRpAAAABXRUJQVlA4IIQAAABQBQCdASoYABgAPu1mq08ppaOiMBgIATAdiWUAt9NfwCkz7mv6jSM/NO5HRjMSfwVuXAAA/uNNn1gUwL6+ghPtjcB7nCCDR/jjWSqZ16WPO8KicyXg2YsY06TDekxqX2af3KZ1VErfTEt6YWbtIW23sncVjl9ecvfdUSGWDlZhE0t/4AA="",""/images/products/agullent_005.jpg"":""data:image/webp;base64,UklGRgABAABXRUJQVlA4IPQAAAAQBgCdASoYABgAPu1oqk+ppiOiKA1RMB2JbACdOcC4C9AZYAULx2NA0xJrWjvaZupRJUjV7wvgNAAA/OiEW90NIvqjmCBPkhO/PfO5vszAFbY1DU5SPYZ3PfpszUNVpJxJ/K1KzKgHMokzrvP9+VGKBhm04homWbJHGBk3CbO4NEFlUC/rj4jQUwGYm6XDdIJgLA6dTTo1UT5AcZ53Q0BuvaBw0zw9HNotaA1Gf1R2kv+YZaZD4E72EIp1HUj1bp4qaZ0wx0Jy++2T/1FdsNBHiVAO4Bk5U2Ahr/dcxMgVeCJ9C9+3eoygckXjg5gnbib+bQAA"",""/images/products/agullent_006.jpg"":""data:image/webp;base64,UklGRogAAABXRUJQVlA4IHwAAAAwBQCdASoYABgAPu1uqk8ppyOiMBgIATAdiWUAtsgQqOwEEV/ytYv3ZrrlTrPhmpE+AAD+y1i3rEn2FHXKN7veJve9iAeb8k1D1nXJTrgL7hp+T5YaPL3grQ/3rFUQNiAovYY4oOnkWDnXETf625IgRZmRvCTGPMTfVQAA""}}",1,2025-11-16 14:55:37.263537+00
al-patro,Al Patro,Calcetines artesanales modelo Al Patro.,0.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,Brodats Grandots,"[""Brodats Grandots"",""Calces Mostraribrodades""]",[],0,false,1000,2025-11-14 10:29:07.976632+00,2025-11-15 18:36:18.129+00,"{""imagePlaceholders"":{""/images/products/al-patro_001.jpg"":""data:image/webp;base64,UklGRqwAAABXRUJQVlA4IKAAAADwBACdASoYABgAPu1ur1KppiQiqAgBMB2JYgC3uAuFTpnbYrrrJ0vcuaE9s/mFboAA/tzlYyKlT2d2X2U4MhfqJdS+22WUjHIh487UlArvTpt37t0pp4z3BbXiSr5K9XDYK66y+8s6P3O1RWZKtIpLQII77cKLz/zsPkBGBn7tvIT1sZc9gm4iluB7TyOAO2qJS0x8ZKS3bsaunBMjAAAA""}}",1,2025-11-16 13:14:19.734881+00
alberri,Alberri,Calcetines artesanales modelo Alberri.,45.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,Calces Llisses,"[""Calces Llisses""]",[],0,false,1000,2025-11-14 10:29:08.060887+00,2025-11-16 11:43:01.846+00,"{""imagePlaceholders"":{""/images/products/alberri_001.jpg"":""data:image/webp;base64,UklGRnoAAABXRUJQVlA4IG4AAADQBACdASoYABgAPt1ep02opSOiN/qoARAbiWcAxNhXh0exIw9+IbkibB4ED0l0AAD+7ohoE2ENCixKdq+72NN8+5CunfZtL3eIiMZV4HUhT+GfvJq/4mT3z8plgR6xpv1fjIMoeRra++/BC+AAAA=="",""/images/products/alberri_002.jpg"":""data:image/webp;base64,UklGRnwAAABXRUJQVlA4IHAAAAAQBACdASoYABgAPuFgp02opaOiMAwBEBwJZADE2BaqqQ5v0L1C0yNugAD9FKWn/eS0Rd/Yo1PNvxbZkOtz9lXmCqP5fIMIS0+P9PuRrouqoRn0ij4J83ypE19i9/KNwwC7FIogRy4zxYi5ZLAPIAAA"",""/images/products/alberri_003.jpg"":""data:image/webp;base64,UklGRq4AAABXRUJQVlA4IKIAAABwBQCdASoYABgAPuVep02pJSOiN/VYASAciUAVgAixa2UiIn0+FxIoLVUp4zcvYWAwnnIAAP7cbV/1kHfQsyxXzdnPBEV1X7VcOx5v+ibc6yOaRp2PJrgbGBlQZ3ibkGNzU+ihnKzi0CeO5wghCryT9xq8F59xIv2+LR5ZcorePPWxkjPvTP8N7Z6LRxBZB2/cR+xqAmiHXqlzuzY/tcd4AAA="",""/images/products/alberri_004.jpg"":""data:image/webp;base64,UklGRoAAAABXRUJQVlA4IHQAAADQBACdASoYABgAPu1or1AppaSiqAqpMB2JZQCnFBDQuYGwxbmLXzhYXiKo4lHYAAD+6MzP5Bf7a6x22X0QHjERM6FxFRYBqcMJtJ77OgnbMZA4UZK0VA2SGFtjVg9N9WutNQguduLAcsZJsQMeMEXCsgAAAA==""}}",2,2025-11-16 16:07:13.870037+00
albufera,Albufera,Calcetines artesanales modelo Albufera.,0.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,Calces Mostraribrodades,"[""Calces Mostraribrodades""]",[],0,false,1000,2025-11-14 10:29:08.133299+00,2025-11-15 18:36:20.011+00,"{""imagePlaceholders"":{""/images/products/albufera_001.jpg"":""data:image/webp;base64,UklGRoIAAABXRUJQVlA4IHYAAADQBACdASoYABgAPu1qrFCppaQiqAqpMB2JZQCw7BE1unfKa4mKFIm/G4zEGMB9wAD+y11PNntlPpKCyjHqpalELO99x2//V0dMDxwqHzijMeRXv9+RDPbN7sOeULlci8z0Srf88ZgqEByyrSKstbxdvIN1QkAA"",""/images/products/albufera_002.jpg"":""data:image/webp;base64,UklGRoYAAABXRUJQVlA4IHoAAAAQBQCdASoYABgAPu1qqVAppiOiqA1RMB2JZQCsM47BW7Yl6A5KzA5q70Bw6207nY0AAP653dniUDzZfgKk2mGLNZfg2fxP78bQPZUzExb/v7FApGAEKgut0fZj3VTXeygosghf8hzVyDWx/Oq69tGvrvdo1b/yftlAAA==""}}",1,2025-11-16 13:16:06.261581+00
